"Schulnummer","Latitude","Longitude","Gemeinden.Kennziffer","Schulname","Grundschulen","PLZ","Ort_parsed","Strasse"
18863,50.846820008404,12.0593099724778,16052000,"Wilhelm-Busch-Grundschule Gera Staatliche Grundschule",1,"D-07549","Gera","Saalfelder Straße 24"
21145,50.9681400102415,11.8822000231045,16074018,"Staatliche Regelschule ""Karl Christian Friedrich Krause"" Eisenberg",0,"D-07607","Eisenberg","Saasaer Straße 14"
77306,51.0001300047152,11.0271299774885,16051000,"Freie Schule Regenbogen-Regelschule",0,"D-99086","Erfurt","Salinenstraße 141"
50853,51.1602800112033,11.1279599979184,16068051,"Staatliches Gymnasium ""Albert Schweitzer"" Sömmerda",0,"D-99610","Sömmerda","Salzmannstraße 39"
16791,51.1905600136102,11.2480799626783,16068034,"Wippertus-Schule Kölleda Staatliche Grundschule",1,"D-99625","Kölleda","Salzstraße 6-8"
13454,50.4108799902773,10.8140100309691,16069053,"Staatliche Grundschule Veilsdorf",1,"D-98669","Veilsdorf","Schackendorfer Straße 254"
18563,50.9581800042457,11.0602600365226,16051000,"Grundschule am Kleinen Herrenberg Erfurt Staatliche Grundschule",1,"D-99099","Erfurt","Scharnhorststraße 41"
52039,50.957550020403,11.0607799659766,16051000,"Staatliches Gymnasium Hannah Arendt Erfurt",0,"D-99099","Erfurt","Scharnhorststraße 43"
14613,50.479909992069,10.5004400156906,16066094,"Staatliche Grundschule Jüchsen",1,"D-98631","Grabfeld","Schaufelhammer 8"
75007,50.943820001997,11.0856199874941,16051000,"Aktiv-Schule Erfurt, Freie Gemeinschaftsschule",1,"D-99097","Erfurt","Schellrodaer Weg 4"
70545,50.5782100188444,11.820490021175,16075098,"Staatlich anerkannte private Förderschule für Geistigbehinderte mit Mehrfachbehinderung",1,"D-07907","Schleiz","Schießhausweg 2"
76328,50.5782100188444,11.820490021175,16075098,"ABC - Freie Integrative Grundschule Schleiz",1,"D-07907","Schleiz","Schießhausweg 2"
12734,50.8098600063519,10.7746200313673,16067053,"Staatliche Grundschule ""Adolf von Trützschler"" Wölfis",1,"D-99885","Ohrdruf","Schillbachstrasse 16"
50210,50.9683500188255,11.8977699949861,16074018,"Friedrich-Schiller-Gymnasium Eisenberg Staatliches Gymnasium",0,"D-07607","Eisenberg","Schillerstraße 1"
45003,50.9668999914857,11.0276700235101,16051000,"Friedrich-Schiller-Schule Erfurt Staatliche Gemeinschaftsschule",1,"D-99096","Erfurt","Schillerstraße 33"
75503,51.203239989096,10.4553199794401,16064046,"Schulzentrum Janusz Korczak, Staatlich anerkannte freie Gemeinschaftsschule",1,"D-99974","Mühlhausen","Schillerweg 59"
20707,50.7094399867158,9.9484699824585,16063032,"Rhön-Ulstertal-Schule Geisa Staatliche Regelschule",0,"D-36419","Geisa","Schleider Straße 7"
25023,51.4248699980904,10.7366500099826,16062066,"Staatliche Regelschule ""Hainleite"" Wolkramshausen",0,"D-99752","Bleicherode","Schleifweg 3"
15665,50.595909999961,11.819259976884,16075076,"Staatliche Grundschule Oettersdorf",1,"D-07907","Oettersdorf","Schleizer Straße 29"
13574,50.4697800010768,10.8519099796433,16069058,"Staatliche Grundschule Brattendorf",1,"D-98673","Auengrund","Schleusinger Straße 30"
40101,50.9488599984668,11.3468000066219,16055000,"Musikgymnasium Schloss Belvedere Staatliches Spezialgymnasium Weimar",0,"D-99425","Weimar","Schloss Belvedere 1"
17839,50.957965234009,11.2175271703087,16071103,"Staatliche Grundschule ""Grammetal"" Isseroda",1,"D-99428","Grammetal","Schlossgasse 24"
21012,50.9137099845864,10.2054499975431,16063097,"Schlossparkschule Staatliche Regelschule Marksuhl",0,"D-99834","Gerstungen","Schlossmauer 14"
20303,50.8345799990159,10.9513900107478,16070004,"Staatliche Regelschule ""Am Schloss Neideck"" Arnstadt",0,"D-99310","Arnstadt","Schlossplatz 2"
11512,50.919640013445,10.0461599743209,16063103,"Staatliche Grundschule Dippach",1,"D-99837","Werra-Suhl-Tal","Schloßplatz 3"
50957,50.856390004445,11.7311299646884,16074094,"Staatliches Gymnasium ""J. H. Pestalozzi"" Stadtroda",0,"D-07646","Stadtroda","Schloßstraße 15"
76268,50.9577899942909,12.4574699869647,16077001,"Freie Schule Känguru - Integrative Grundschule Altenburg",1,"D-04600","Altenburg","Schloßstraße 5"
14686,50.6440400195513,10.2396199993042,16066086,"Grundschule am Hahnberg Oepfershausen Staatliche Grundschule",1,"D-98634","Wasungen","Schlossstraße 64"
14012,51.0555000189019,11.7007400336213,16074011,"Staatliche Grundschule ""Im Saaletal"" Camburg",1,"D-07774","Dornburg-Camburg","Schmiedehäuser Straße 23"
12687,50.8579000043021,10.6380800021058,16067092,"Staatliche Grundschule ""Christian Ludwig Brehm"" Schönau v. d. Walde",1,"D-99887","Georgenthal v. d. Walde","Schmiedsgasse 28"
51081,50.651259981399,11.9844900034296,16076087,"Staatliches Gymnasium ""Friedrich Schiller"" Zeulenroda",0,"D-07937","Zeulenroda-Triebes","Schopperstraße 26"
10481,51.0021399850967,11.4920500067491,16071001,"Staatliche Grundschule im Moorental Herressen-Sulzbach",1,"D-99510","Apolda","Schötener Straße 142"
19014,50.9535699994087,11.6130100058452,16053000,"Schule am Rautal Jena Staatliche Grundschule",1,"D-07743","Jena","Schreckenbachweg 3"
15363,51.5765399912263,10.7813800362783,16062065,"Staatliche Grundschule Ilfeld",1,"D-99768","Ilfeld","Schröderstraße 35"
70185,50.9762300136389,11.3251700025635,16055000,"Johannes-Landenberger-Schule Staatlich anerkannte Förderschule für Geistigbehinderte",1,"D-99423","Weimar","Schubertstraße 1 b"
50687,50.693100011299,11.5936599632696,16075085,"Staatliches Gymnasium ""Am Weißen Turm"" Pößneck",0,"D-07381","Pößneck","Schulplatz 1"
11109,50.7994700087232,10.2990999958939,16063004,"Staatliche Grundschule Barchfeld",1,"D-36456","Barchfeld-Immelborn","Schulplatz 1"
20814,50.8394599849542,10.1680600038581,16063003,"Staatliche Krayenburg Regelschule Tiefenort",0,"D-36469","Bad Salzungen","Schulplatz 1"
11982,51.0502099902603,11.1290000244645,16068055,"Staatliche Grundschule Udestedt",1,"D-99198","Udestedt","Schulplatz 3"
50480,51.1086600185878,10.6497699910075,16064003,"Salza-Gymnasium Bad Langensalza Staatliches Gymnasium",0,"D-99947","Bad Langensalza","Schulplatz 6"
22196,50.8987699965475,10.5549200393981,16067072,"Staatliche Regelschule Waltershausen",0,"D-99880","Waltershausen","Schulplatz 8"
14068,50.8486799946282,11.601250028052,16074079,"Staatliche Grundschule ""Am Trompeterfelsen"" Rothenstein",1,"D-07751","Rothenstein","Schulstr. 18"
45853,50.9409399800659,11.7575799821678,16074009,"Staatliche Gemeinschaftsschule Bürgel",1,"D-07616","Bürgel","Schulstraße 1"
17479,50.8374699954118,11.7223899866093,16074103,"Staatliche Grundschule ""Hügelland"" Tröbnitz",1,"D-07646","Tröbnitz","Schulstraße 1"
13335,51.3236700004543,10.0566599844287,16061111,"Staatliche Grundschule ""Brüder Grimm"" Wüstheuterode",1,"D-37318","Wüstheuterode","Schulstraße 1"
18187,51.4770400111922,10.4862900220259,16061116,"Staatliche Grundschule ""Im Bodetal"" Großbodungen",1,"D-37345","Am Ohmberg","Schulstraße 1"
25680,50.7569900205159,10.3300500057312,16066013,"Staatliche Regelschule Breitungen",0,"D-98597","Breitungen","Schulstraße 1"
10736,50.8215600116279,11.0155099774783,16070004,"Staatliche Grundschule Marlishausen",1,"D-99310","Arnstadt","Schulstraße 1"
26431,50.679929987844,12.0909300316549,16076039,"Bio-Landschule Staatliche Regelschule Langenwetzendorf",0,"D-07957","Langenwetzendorf","Schulstraße 10"
18203,51.3946300192711,10.3982699804,16061037,"Staatliche Grundschule Gernrode",1,"D-37339","Gernrode","Schulstraße 11"
50464,50.8056400114697,11.5827800014907,16074044,"Staatliches Gymnasium ""Leuchtenburg"" Kahla",0,"D-07768","Kahla","Schulstraße 18"
77006,50.6786499874101,12.2799499948881,16076093,"Freie Regelschule Reudnitz",0,"D-07987","Mohlsdorf-Teichwolframsdorf","Schulstraße 18"
17899,50.8612600159185,11.2438099697436,16071003,"Staatliche Grundschule Tannroda",1,"D-99438","Bad Berka","Schulstraße 2-4"
20873,50.7145000159342,10.1190200029495,16063015,"Staatliche Regelschule Dermbach",0,"D-36466","Dermbach","Schulstraße 2"
17572,50.6080800204575,10.4960299611539,16066038,"Grundschule am Dolmar Kühndorf Staatliche Grundschule",1,"D-98547","Kühndorf","Schulstraße 2"
16325,50.8241799850129,10.4414900068387,16066074,"Staatliche Grundschule Brotterode",1,"D-98596","Brotterode-Trusetal","Schulstraße 2"
15393,51.4924200072384,10.6899599594483,16062063,"Staatliche Grundschule Werther",1,"D-99735","Werther","Schulstraße 2"
12660,50.9426299812936,10.5255399600256,16067088,"Staatliche Grundschule ""Hörseltal"" Mechterstädt",1,"D-99880","Mechterstädt","Schulstraße 2"
30652,51.3683700195366,10.3359600018412,16061115,"Staatliches regionales Förderzentrum Eichsfeld",1,"D-37327","Leinefelde-Worbis","Schulstraße 20"
20304,50.8811500206968,10.9696400123507,16070028,"Staatliche Regelschule ""Wilhelm Hey"" Ichtershausen",0,"D-99334","Amt Wachsenburg","Schulstraße 22"
