"Name","School","lat","lon","PLZ","Location","School.Type","Board","Board.Type","District","Admin","AGS","AGS.Name","Großstadtregionaler.Einzugsbereich","Stadt.und.Gemeindetyp","BBSR.Mittelbereiche","RegioStar2","RegioStar5","RegioStar7","RegioStar17","Raumtyp","Wachsen.Schrumpfen"
"Evangelische Grundschule Sömmerda",76508,51.1578019769625,11.1380983357468,99610,"Sömmerda","Grundschule","Evangelische Schulstiftung in Mitteldeutschland","in freier Trägerschaft","Sömmerda","Staatliches Schulamt Mittelthüringen",16068051,"Sömmerda, Stadt","weiterer Pendlerverflechtungsbereich","Größere Kleinstadt","Sömmerda","Stadtregion","Städtischer Raum","Stadtregion - Mittelstädte, städtischer Raum","Regiopolitane Stadtregion - Verstädterter Raum","peripher","schrumpfend"
"Staatliche Grundschule ""Adolph Diesterweg"" Sömmerda",16881,51.1542299954008,11.1340699862382,99610,"Sömmerda","Grundschule","Landratsamt Sömmerda","staatlich","Sömmerda","Staatliches Schulamt Mittelthüringen",16068051,"Sömmerda, Stadt","weiterer Pendlerverflechtungsbereich","Größere Kleinstadt","Sömmerda","Stadtregion","Städtischer Raum","Stadtregion - Mittelstädte, städtischer Raum","Regiopolitane Stadtregion - Verstädterter Raum","peripher","schrumpfend"
"Grundschule im Schlosspark, Staatliche Grundschule Straußfurt",16895,51.1603000020423,10.9913400053006,99634,"Straußfurt","Grundschule","Landratsamt Sömmerda","staatlich","Sömmerda","Staatliches Schulamt Mittelthüringen",16068053,"Straußfurt","engerer Pendlerverflechtungsbereich","Landgemeinde","Erfurt","Stadtregion","Kleinstädtischer, dörflicher Raum","Stadtregion - kleinstädtischer, dörflicher Raum","Regiopolitane Stadtregion - Kleinstädtischer, dörflicher Raum","peripher","schrumpfend"
"Staatliche Grundschule Udestedt",11982,51.0502099902603,11.1290000244645,99198,"Udestedt","Grundschule","Landratsamt Sömmerda","staatlich","Sömmerda","Staatliches Schulamt Mittelthüringen",16068055,"Udestedt","engerer Pendlerverflechtungsbereich","Landgemeinde","Erfurt","Stadtregion","Kleinstädtischer, dörflicher Raum","Stadtregion - kleinstädtischer, dörflicher Raum","Regiopolitane Stadtregion - Kleinstädtischer, dörflicher Raum","peripher","schrumpfend"
"Staatliche Grundschule Vogelsberg",16924,51.1344899847798,11.2349799700244,99610,"Vogelsberg","Grundschule","Landratsamt Sömmerda","staatlich","Sömmerda","Staatliches Schulamt Mittelthüringen",16068056,"Vogelsberg","engerer Pendlerverflechtungsbereich","Landgemeinde","Erfurt","Stadtregion","Kleinstädtischer, dörflicher Raum","Stadtregion - kleinstädtischer, dörflicher Raum","Regiopolitane Stadtregion - Kleinstädtischer, dörflicher Raum","peripher","schrumpfend"
"Staatliche Grundschule Hans Christian Andersen Walschleben",16774,51.0667699906355,10.9352899673094,99189,"Walschleben","Grundschule","Landratsamt Sömmerda","staatlich","Sömmerda","Staatliches Schulamt Mittelthüringen",16068057,"Walschleben","engerer Pendlerverflechtungsbereich","Landgemeinde","Erfurt","Stadtregion","Kleinstädtischer, dörflicher Raum","Stadtregion - kleinstädtischer, dörflicher Raum","Regiopolitane Stadtregion - Kleinstädtischer, dörflicher Raum","peripher","keine eindeutige Entwicklungsrichtung"
"Traumzauberbaum-Schule Weißensee Staatliche Grundschule",16955,51.2013499956584,11.0678200102727,99631,"Weißensee","Grundschule","Stadtverwaltung Weißensee","staatlich","Sömmerda","Staatliches Schulamt Mittelthüringen",16068058,"Weißensee, Stadt","weiterer Pendlerverflechtungsbereich","Landgemeinde","Sömmerda","Ländliche Region","Kleinstädtischer, dörflicher Raum","Ländliche Region - kleinstädtischer, dörflicher Raum","Stadtregionsnahe ländliche Region - Kleinstädtischer, dörflicher Raum","peripher","überdurchschnittlich wachsend"
"Grundschule im Grünen, Staatliche Grundschule Guthmannshausen",16761,51.1338999826153,11.3613799919194,99628,"Buttstädt","Grundschule","Landratsamt Sömmerda","staatlich","Sömmerda","Staatliches Schulamt Mittelthüringen",16068063,"Buttstädt","nicht zu Großstadtregion gehörend","Kleine Kleinstadt","Sömmerda","Ländliche Region","Kleinstädtischer, dörflicher Raum","Ländliche Region - kleinstädtischer, dörflicher Raum","Stadtregionsnahe ländliche Region - Kleinstädtischer, dörflicher Raum","peripher","schrumpfend"
"Sophienschule Buttstädt Staatliche Grundschule",16727,51.1231200169414,11.4182699804279,99628,"Buttstädt","Grundschule","Landratsamt Sömmerda","staatlich","Sömmerda","Staatliches Schulamt Mittelthüringen",16068063,"Buttstädt","nicht zu Großstadtregion gehörend","Kleine Kleinstadt","Sömmerda","Ländliche Region","Kleinstädtischer, dörflicher Raum","Ländliche Region - kleinstädtischer, dörflicher Raum","Stadtregionsnahe ländliche Region - Kleinstädtischer, dörflicher Raum","peripher","schrumpfend"
"Wippertal-Grundschule Staatliche Grundschule Kindelbrück",16775,51.2594300048703,11.0819700039374,99638,"Kindelbrück","Grundschule","Landratsamt Sömmerda","staatlich","Sömmerda","Staatliches Schulamt Mittelthüringen",16068064,"Kindelbrück","nicht zu Großstadtregion gehörend","Landgemeinde","Sömmerda","Ländliche Region","Kleinstädtischer, dörflicher Raum","Ländliche Region - kleinstädtischer, dörflicher Raum","Stadtregionsnahe ländliche Region - Kleinstädtischer, dörflicher Raum","sehr peripher","überdurchschnittlich schrumpfend"
